the_geom,GEOID,FSHRI,FVI_storm_surge_present,FVI_storm_surge_2050s,FVI_storm_surge_2080s,FVI_tidal_2020s,FVI_tidal_2050s,FVI_tidal_2080s,flood_risk_score
"MULTIPOLYGON (((-74.004786 40.723625, -74.004575 40.724173, -74.004275 40.724911000000006, -74.004031 40.725513, -74.003376 40.725252, -74.002619 40.72488, -74.001933 40.72455199999999, -74.001127 40.72416599999998, -74.002174 40.72292999999999, -74.002026 40.72285800000001, -74.001403 40.72255599999999, -74.000657 40.72218300000001, -73.999853 40.721792, -74.001884 40.71939799999999, -74.003259 40.72037699999999, -74.003512 40.720557, -74.004635 40.721354, -74.00531 40.72182399999999, -74.004786 40.723625)))",36061004700,1.0,3.0,3.0,3.0,0.0,0.0,0.0,4.24
"MULTIPOLYGON (((-73.994547 40.72940599999998, -73.994064 40.729977999999996, -73.99325 40.730945, -73.992407 40.730591, -73.991921 40.73116599999999, -73.99146 40.731738, -73.99039 40.73128900000001, -73.990505 40.730565, -73.990722 40.729896999999994, -73.990757 40.729741, -73.991285 40.727762, -73.991548 40.72708899999999, -73.993147 40.727867, -73.994252 40.72841199999999, -73.995061 40.72881000000001, -73.994547 40.72940599999998)))",36061005700,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-74.00251 40.729, -74.002301 40.72944499999999, -74.002203 40.729654000000004, -74.002139 40.72979599999999, -74.001797 40.730384999999984, -74.001684 40.730581, -74.001413 40.731065, -74.000954 40.73170600000001, -74.000511 40.732315, -74.000066 40.732929000000006, -73.998612 40.73221499999998, -73.996974 40.731409000000006, -73.995563 40.73071499999999, -73.996572 40.729552, -73.99736 40.729941000000004, -73.997886 40.72930999999999, -73.998955 40.72806800000001, -73.999916 40.726935, -74.000632 40.727287, -74.00139 40.72766, -74.002149 40.728035999999996, -74.002808 40.728365000000004, -74.00251 40.729)))",36061006500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.953957 40.806353, -73.9535 40.80698100000001, -73.95304 40.80760999999999, -73.952917 40.80778, -73.952585 40.80823799999999, -73.94974 40.80703999999999, -73.9469 40.805839000000006, -73.947352 40.80521299999999, -73.947813 40.804587, -73.947891 40.804478999999986, -73.948273 40.80395699999999, -73.948728 40.803331, -73.951572 40.804525999999996, -73.95276 40.80502799999999, -73.954416 40.805725, -73.953957 40.806353)))",36061022000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.981211 40.725073, -73.980768 40.725685, -73.980333 40.726281, -73.977977 40.72528799999999, -73.975598 40.72428299999999, -73.976 40.723729, -73.97603 40.723689, -73.976477 40.723077999999994, -73.976893 40.722498, -73.979281 40.723505, -73.98163700000002 40.72449399999999, -73.981211 40.725073)))",36061002602,2.0,4.0,4.0,4.0,0.0,0.0,0.0,5.319999999999999
"MULTIPOLYGON (((-73.975383 40.749483, -73.974449 40.75076599999999, -73.973959 40.751441, -73.973503 40.752064999999995, -73.971263 40.751122, -73.968908 40.75011200000001, -73.96932 40.749517000000004, -73.969987 40.748869, -73.970452 40.74821199999998, -73.970366 40.748095, -73.97078 40.747543, -73.971228 40.74691899999999, -73.972738 40.747557999999984, -73.973592 40.747919, -73.97497 40.748502, -73.975835 40.748862999999986, -73.975383 40.749483)))",36061008800,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.957702 40.779495999999995, -73.957202 40.780179000000004, -73.955585 40.779495999999995, -73.953984 40.77882199999999, -73.954482 40.77813900000001, -73.954945 40.77750399999999, -73.956546 40.77817999999999, -73.95816500000001 40.77886099999999, -73.957702 40.779495999999995)))",36061014801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.966128 40.76218, -73.96567 40.762804999999986, -73.965214 40.763432, -73.964755 40.764058, -73.964299 40.764683, -73.962064 40.763735, -73.959695 40.76274, -73.96015 40.762115, -73.960607 40.761488, -73.961068 40.760857999999985, -73.961426 40.760362, -73.961966 40.759619, -73.963556 40.76028099999999, -73.964314 40.760599, -73.966583 40.761552, -73.966128 40.76218)))",36061011000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.990454 40.771612, -73.989994 40.77224199999999, -73.98954 40.77286600000001, -73.986695 40.77166799999999, -73.98714600000001 40.77105399999999, -73.98761500000002 40.770415, -73.988063 40.76979099999999, -73.990913 40.77098800000001, -73.990454 40.771612)))",36061014700,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.960416 40.781532000000006, -73.958814 40.78085799999999, -73.957202 40.780179000000004, -73.957702 40.779495999999995, -73.95816500000001 40.77886099999999, -73.959774 40.779542, -73.961361 40.780241, -73.960416 40.781532000000006)))",36061015001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.976477 40.723077999999994, -73.97603 40.723689, -73.976 40.723729, -73.975598 40.72428299999999, -73.975164 40.72487699999999, -73.97426900000002 40.726109, -73.973298 40.727428, -73.971857 40.72675900000001, -73.971396 40.726662, -73.962645 40.722747, -73.962787 40.722561999999996, -73.96355 40.721571, -73.964038 40.72093900000001, -73.96557200000001 40.718949999999985, -73.966511 40.717917, -73.972869 40.720724999999995, -73.974763 40.72159599999999, -73.976893 40.722498, -73.976477 40.723077999999994)))",36061002400,2.0,4.0,4.0,4.0,0.0,0.0,3.0,5.319999999999999
"MULTIPOLYGON (((-73.966616 40.75324400000001, -73.966352 40.753605, -73.966157 40.75387799999999, -73.965696 40.754505, -73.96524 40.755129999999994, -73.96478600000002 40.755755999999984, -73.964325 40.75638099999999, -73.9621 40.75545499999999, -73.961773 40.755284, -73.961565 40.755207999999996, -73.958614 40.753848, -73.96156 40.74945799999998, -73.964715 40.751717, -73.964862 40.752010999999996, -73.965055 40.751812999999984, -73.965185 40.751951999999996, -73.967227 40.752688, -73.966616 40.75324400000001)))",36061008603,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.1599999999999997
"MULTIPOLYGON (((-73.947117 40.82590400000001, -73.946661 40.826529, -73.94620300000001 40.827154, -73.945292 40.82840099999999, -73.943898 40.827814999999994, -73.942781 40.827344999999994, -73.942453 40.827206999999994, -73.941536 40.826820999999995, -73.940595 40.82641399999999, -73.941503 40.825171, -73.941956 40.82455499999999, -73.942924 40.823260000000005, -73.943842 40.823647999999984, -73.944756 40.824031999999995, -73.946222 40.82465199999999, -73.947604 40.825232999999976, -73.947117 40.82590400000001)))",36061023100,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
