GeoName,Total Hispanic,Total Black,Total Asian,Pop,% Hispanic,% Black,% Asian
,6994.8,2662.9,30.0,5830.0,119.97941680960548,45.67581475128645,0.5145797598627788
,5718.9,1384.1,0.0,4078.0,140.23786169691024,33.940657184894555,0.0
,8309.6,2323.9,23.0,6360.0,130.65408805031447,36.53930817610063,0.3616352201257862
,5179.9,1372.7,706.0,4701.0,110.187194213997,29.20017017655818,15.018081259306532
,3567.2,2584.8,3497.0,6237.0,57.19416386083053,41.44300144300145,56.068622735289395
,4718.4,2576.4,0.0,5006.0,94.25489412704754,51.46624051138634,0.0
,7668.0,2066.8,559.0,6610.0,116.00605143721634,31.267776096822995,8.456883509833585
,1604.8,250.7,0.0,1176.0,136.4625850340136,21.318027210884352,0.0
,2917.8,664.4,62.0,2511.0,116.20071684587813,26.45957785742732,2.4691358024691357
,5228.4,1177.7,201.0,4001.0,130.67733066733317,29.435141214696326,5.0237440639840045
,7640.4,988.9,69.0,5457.0,140.0109950522265,18.121678577973242,1.2644310060472788
,3344.1,561.8,2408.0,3968.0,84.27671370967742,14.158266129032256,60.68548387096774
,7470.7,969.7,24.0,5063.0,147.55480940154058,19.152676278886034,0.47402725656725264
,2964.6,383.3,254.0,2787.0,106.3724434876211,13.753139576605669,9.113742375313958
,3927.3,717.3,74.0,3275.0,119.9175572519084,21.902290076335877,2.2595419847328246
,4522.6,1229.9,642.0,4489.0,100.74849632434841,27.398084205836494,14.301626197371354
,10161.4,2888.1,46.0,8141.0,124.81758997666135,35.47598575113622,0.5650411497359047
,6731.6,2486.0,0.0,5669.0,118.74404656905982,43.85253131063679,0.0
,1859.2,402.2,0.0,1634.0,113.78212974296207,24.614443084455324,0.0
,2475.6,144.0,42.0,1699.0,145.70924072984107,8.475573866980577,2.4720423778693346
,5796.2,1265.7,1528.0,6336.0,91.48042929292929,19.976325757575758,24.116161616161616
,6894.6,1987.0,340.0,5766.0,119.57336108220605,34.46063128685397,5.896635449184877
,4680.7,990.3,31.0,3401.0,137.62716847985885,29.117906498088796,0.911496618641576
,2794.1,468.1,424.0,3001.0,93.10563145618127,15.598133955348217,14.12862379206931
,1746.7,528.8,0.0,1464.0,119.3101092896175,36.12021857923497,0.0
,2545.1,375.2,603.0,3000.0,84.83666666666666,12.506666666666666,20.1
,5510.9,1935.5,0.0,4577.0,120.40419488748087,42.287524579418836,0.0
,5529.5,648.5,0.0,3574.0,154.7146054840515,18.14493564633464,0.0
,5513.2,739.0,29.0,3570.0,154.43137254901958,20.700280112044815,0.8123249299719889
,6265.7,1121.7,49.0,4417.0,141.8541996830428,25.395064523432193,1.109350237717908
,1976.8,150.5,212.0,2204.0,89.69147005444646,6.828493647912885,9.618874773139746
,1601.2,128.0,0.0,1179.0,135.8100084817642,10.856658184902459,0.0
,6610.5,1346.1,197.0,5086.0,129.97443963822258,26.466771529689343,3.8733779001179713
,5341.4,1134.9,0.0,3970.0,134.544080604534,28.586901763224184,0.0
,2388.9,187.5,378.0,2750.0,86.8690909090909,6.8181818181818175,13.745454545454546
,10829.4,2015.3,389.0,8213.0,131.85681237063193,24.537927675636187,4.736393522464385
,5242.9,1215.0,372.0,4583.0,114.39886537202706,26.51101898319878,8.11695396028802
,7410.2,2580.2,0.0,6331.0,117.04628020849785,40.75501500552835,0.0
,7693.5,1758.0,35.0,5577.0,137.9505110274341,31.522323830016134,0.6275775506544737
,1656.1,85.4,505.0,2407.0,68.80348982135438,3.5479850436227673,20.98047361861238
,7515.7,1302.3,0.0,5059.0,148.56098043091518,25.74224154971338,0.0
,5444.6,1028.5,0.0,3797.0,143.3921516987095,27.087174084803795,0.0
